label,sweep_param,param_value,T_K,kappa_p_W_mK
TiN,L_eff,3.981071705534969e-09,200,1.615880953496178
TiN,L_eff,3.981071705534969e-09,300,1.8376266204294436
TiN,L_eff,3.981071705534969e-09,400,1.9288706014301513
TiN,L_eff,3.981071705534969e-09,500,1.973967546669637
TiN,L_eff,6.309573444801943e-09,200,1.9535010789551706
TiN,L_eff,6.309573444801943e-09,300,2.1979338000424353
TiN,L_eff,6.309573444801943e-09,400,2.2978854052897857
TiN,L_eff,6.309573444801943e-09,500,2.34716487304751
TiN,L_eff,1e-08,200,2.320547366896342
TiN,L_eff,1e-08,300,2.585560841631676
TiN,L_eff,1e-08,400,2.693318827858768
TiN,L_eff,1e-08,500,2.746329955143082
TiN,L_eff,1.5848931924611143e-08,200,2.7068192711814456
TiN,L_eff,1.5848931924611143e-08,300,2.9900029325141504
TiN,L_eff,1.5848931924611143e-08,400,3.104582576760752
TiN,L_eff,1.5848931924611143e-08,500,3.160841071462306
TiN,L_eff,2.511886431509582e-08,200,3.096782026142018
TiN,L_eff,2.511886431509582e-08,300,3.3955180826449407
TiN,L_eff,2.511886431509582e-08,400,3.5158863791047033
TiN,L_eff,2.511886431509582e-08,500,3.5748908523244074
TiN,L_eff,3.981071705534969e-08,200,3.4707202750030213
TiN,L_eff,3.981071705534969e-08,300,3.7822998413509823
TiN,L_eff,3.981071705534969e-08,400,3.9074150560988405
TiN,L_eff,3.981071705534969e-08,500,3.9686649337283257
TiN,L_eff,6.30957344480193e-08,200,3.80837373478523
TiN,L_eff,6.30957344480193e-08,300,4.130142141758128
TiN,L_eff,6.30957344480193e-08,400,4.2590023734489435
TiN,L_eff,6.30957344480193e-08,500,4.322019776998294
TiN,L_eff,1e-07,200,4.094091050844041
TiN,L_eff,1e-07,300,4.423606453712062
TiN,L_eff,1e-07,400,4.55530227043621
TiN,L_eff,1e-07,500,4.619655713591973
TiN,L_eff,1.584893192461114e-07,200,4.320801106954232
TiN,L_eff,1.584893192461114e-07,300,4.655967447624375
TiN,L_eff,1.584893192461114e-07,400,4.789725304928749
TiN,L_eff,1.584893192461114e-07,500,4.855049115023973
TiN,L_eff,2.5118864315095823e-07,200,4.490500211776184
TiN,L_eff,2.5118864315095823e-07,300,4.829637579298032
TiN,L_eff,2.5118864315095823e-07,400,4.9648413259368045
TiN,L_eff,2.5118864315095823e-07,500,5.030844954645623
TiN,L_eff,3.981071705534969e-07,200,4.611488229148351
TiN,L_eff,3.981071705534969e-07,300,4.953331059487651
TiN,L_eff,3.981071705534969e-07,400,5.089518417851937
TiN,L_eff,3.981071705534969e-07,500,5.155984235768991
TiN,L_eff,6.309573444801942e-07,200,4.694545480496272
TiN,L_eff,6.309573444801942e-07,300,5.0381879837945664
TiN,L_eff,6.309573444801942e-07,400,5.175028982691258
TiN,L_eff,6.309573444801942e-07,500,5.241801815361239
TiN,L_eff,1e-06,200,4.750006144803114
TiN,L_eff,1e-06,300,5.09482510420327
TiN,L_eff,1e-06,400,5.232093108380206
TiN,L_eff,1e-06,500,5.299066451804892
TiN,L_eff,1.584893192461114e-06,200,4.786329097990366
TiN,L_eff,1.584893192461114e-06,300,5.131907829111303
TiN,L_eff,1.584893192461114e-06,400,5.269451480478671
TiN,L_eff,1.584893192461114e-06,500,5.33655423834305
TiN,L_eff,2.5118864315095823e-06,200,4.809808625311005
TiN,L_eff,2.5118864315095823e-06,300,5.155874024982156
TiN,L_eff,2.5118864315095823e-06,400,5.293594192059493
TiN,L_eff,2.5118864315095823e-06,500,5.360779813584918
TiN,L_eff,3.981071705534969e-06,200,4.824855317144323
TiN,L_eff,3.981071705534969e-06,300,5.171230771669057
TiN,L_eff,3.981071705534969e-06,400,5.30906337638077
TiN,L_eff,3.981071705534969e-06,500,5.3763017769502355
TiN,L_eff,6.309573444801943e-06,200,4.834443826849846
TiN,L_eff,6.309573444801943e-06,300,5.181016125133766
TiN,L_eff,6.309573444801943e-06,400,5.318920104806775
TiN,L_eff,6.309573444801943e-06,500,5.386192007784711
TiN,L_eff,1e-05,200,4.840532055804817
TiN,L_eff,1e-05,300,5.187229042672491
TiN,L_eff,1e-05,400,5.325178230824168
TiN,L_eff,1e-05,500,5.392471353419879
TiN,A_0,100000000.0,200,5.716147267543159
TiN,A_0,100000000.0,300,6.078433210135011
TiN,A_0,100000000.0,400,6.2220130988654745
TiN,A_0,100000000.0,500,6.291945097657507
TiN,A_0,199526231.49688828,200,5.713008581325227
TiN,A_0,199526231.49688828,300,6.075244656522564
TiN,A_0,199526231.49688828,400,6.218806585820205
TiN,A_0,199526231.49688828,500,6.288730177629539
TiN,A_0,398107170.5534969,200,5.706766235785432
TiN,A_0,398107170.5534969,300,6.068903007761382
TiN,A_0,398107170.5534969,400,6.21242917253298
TiN,A_0,398107170.5534969,500,6.282336022420994
TiN,A_0,794328234.7242821,200,5.694390637993976
TiN,A_0,794328234.7242821,300,6.056330046093068
TiN,A_0,794328234.7242821,400,6.199785125030953
TiN,A_0,794328234.7242821,500,6.269658697747772
TiN,A_0,1584893192.4611108,200,5.670008994354416
TiN,A_0,1584893192.4611108,300,6.031557640993281
TiN,A_0,1584893192.4611108,400,6.174871959946882
TiN,A_0,1584893192.4611108,500,6.244679636001738
TiN,A_0,3162277660.1683793,200,5.622555962297421
TiN,A_0,3162277660.1683793,300,5.983336678727676
TiN,A_0,3162277660.1683793,400,6.126374308601253
TiN,A_0,3162277660.1683793,500,6.19605244062672
TiN,A_0,6309573444.801943,200,5.532315664128654
TiN,A_0,6309573444.801943,300,5.891608481613224
TiN,A_0,6309573444.801943,400,6.034109766297968
TiN,A_0,6309573444.801943,500,6.103536738488815
TiN,A_0,12589254117.941662,200,5.367793114097786
TiN,A_0,12589254117.941662,300,5.72427674995863
TiN,A_0,12589254117.941662,400,5.865764507930324
TiN,A_0,12589254117.941662,500,5.934716697174417
TiN,A_0,25118864315.09582,200,5.0884395611464734
TiN,A_0,25118864315.09582,300,5.439847494643633
TiN,A_0,25118864315.09582,400,5.579500978136036
TiN,A_0,25118864315.09582,500,5.647593342094952
TiN,A_0,50118723362.72715,200,4.662086902566122
TiN,A_0,50118723362.72715,300,5.004914087781
TiN,A_0,50118723362.72715,400,5.141457639766959
TiN,A_0,50118723362.72715,500,5.208090511196615
TiN,A_0,100000000000.0,200,4.094091050844041
TiN,A_0,100000000000.0,300,4.423606453712062
TiN,A_0,100000000000.0,400,4.55530227043621
TiN,A_0,100000000000.0,500,4.619655713591973
TiN,A_0,199526231496.88828,200,3.4384490046273357
TiN,A_0,199526231496.88828,300,3.749135325111596
TiN,A_0,199526231496.88828,400,3.8739237255413426
TiN,A_0,199526231496.88828,500,3.9350196475229127
TiN,A_0,398107170553.49695,200,2.770717996213424
TiN,A_0,398107170553.49695,300,3.056904181938311
TiN,A_0,398107170553.49695,400,3.172610498715926
TiN,A_0,398107170553.49695,500,3.229405217369208
TiN,A_0,794328234724.2821,200,2.1515506109454887
TiN,A_0,794328234724.2821,300,2.4079263396455475
TiN,A_0,794328234724.2821,400,2.512427808289937
TiN,A_0,794328234724.2821,500,2.5638860833822052
TiN,A_0,1584893192461.1108,200,1.6132321533173322
TiN,A_0,1584893192461.1108,300,1.8352211553903612
TiN,A_0,1584893192461.1108,400,1.9265721105917315
TiN,A_0,1584893192461.1108,500,1.9717231194806053
TiN,A_0,3162277660168.3794,200,1.1659052766461193
TiN,A_0,3162277660168.3794,300,1.3500886097649532
TiN,A_0,3162277660168.3794,400,1.4266848883858743
TiN,A_0,3162277660168.3794,500,1.4647005837627258
TiN,A_0,6309573444801.942,200,0.807858710130367
TiN,A_0,6309573444801.942,300,0.9526133939615834
TiN,A_0,6309573444801.942,400,1.0134748037146395
TiN,A_0,6309573444801.942,500,1.043811996031005
TiN,A_0,12589254117941.662,200,0.5325320672761018
TiN,A_0,12589254117941.662,300,0.6388557151000992
TiN,A_0,12589254117941.662,400,0.6840306224840568
TiN,A_0,12589254117941.662,500,0.7066426454313519
TiN,A_0,25118864315095.72,200,0.33147583093659705
TiN,A_0,25118864315095.72,300,0.4035935029981589
TiN,A_0,25118864315095.72,400,0.43451503518862866
TiN,A_0,25118864315095.72,500,0.4500488116766835
TiN,A_0,50118723362727.15,200,0.19431289898704196
TiN,A_0,50118723362727.15,300,0.23929023689774312
TiN,A_0,50118723362727.15,400,0.25871039652418937
TiN,A_0,50118723362727.15,500,0.2684936411656558
TiN,A_0,100000000000000.0,200,0.10789865188461907
TiN,A_0,100000000000000.0,300,0.13390080769932666
TiN,A_0,100000000000000.0,400,0.14518142959908797
TiN,A_0,100000000000000.0,500,0.15087506208001217
TiN,A_U,1e-47,200,4.094091050844041
TiN,A_U,1e-47,300,4.423606453712062
TiN,A_U,1e-47,400,4.55530227043621
TiN,A_U,1e-47,500,4.619655713591973
TiN,A_U,1.7782794100389229e-47,200,4.094091050844041
TiN,A_U,1.7782794100389229e-47,300,4.423606453712062
TiN,A_U,1.7782794100389229e-47,400,4.55530227043621
TiN,A_U,1.7782794100389229e-47,500,4.619655713591973
TiN,A_U,3.162277660168379e-47,200,4.094091050844041
TiN,A_U,3.162277660168379e-47,300,4.423606453712062
TiN,A_U,3.162277660168379e-47,400,4.55530227043621
TiN,A_U,3.162277660168379e-47,500,4.619655713591973
TiN,A_U,5.623413251903491e-47,200,4.094091050844041
TiN,A_U,5.623413251903491e-47,300,4.423606453712062
TiN,A_U,5.623413251903491e-47,400,4.55530227043621
TiN,A_U,5.623413251903491e-47,500,4.619655713591973
TiN,A_U,1e-46,200,4.094091050844041
TiN,A_U,1e-46,300,4.423606453712062
TiN,A_U,1e-46,400,4.55530227043621
TiN,A_U,1e-46,500,4.619655713591973
TiN,A_U,1.7782794100389227e-46,200,4.094091050844041
TiN,A_U,1.7782794100389227e-46,300,4.423606453712062
TiN,A_U,1.7782794100389227e-46,400,4.55530227043621
TiN,A_U,1.7782794100389227e-46,500,4.619655713591973
TiN,A_U,3.1622776601683793e-46,200,4.094091050844041
TiN,A_U,3.1622776601683793e-46,300,4.423606453712062
TiN,A_U,3.1622776601683793e-46,400,4.55530227043621
TiN,A_U,3.1622776601683793e-46,500,4.619655713591973
TiN,A_U,5.6234132519034906e-46,200,4.094091050844041
TiN,A_U,5.6234132519034906e-46,300,4.423606453712062
TiN,A_U,5.6234132519034906e-46,400,4.55530227043621
TiN,A_U,5.6234132519034906e-46,500,4.619655713591973
TiN,A_U,1e-45,200,4.094091050844041
TiN,A_U,1e-45,300,4.423606453712062
TiN,A_U,1e-45,400,4.55530227043621
TiN,A_U,1e-45,500,4.619655713591973
TiN,A_U,1.7782794100389227e-45,200,4.094091050844041
TiN,A_U,1.7782794100389227e-45,300,4.423606453712062
TiN,A_U,1.7782794100389227e-45,400,4.55530227043621
