G_pp_W_m2K,G_ep_int_W_m2K,G_ep_bulk_W_m3K,kappa_e_W_mK,kappa_p_W_mK,G_total_W_m2K,G_e_channel_W_m2K,G_p_channel_W_m2K,electron_channel_fraction,phonon_channel_fraction,l_ep_m,R_e_m_m2K_W,R_p_m_m2K_W,R_ep_m2K_W,R_pp_m2K_W
158489319.2461111,1000000000.0,1e+17,350.0,20.0,1105099318.2588906,962187128.6929637,142912189.56592694,0.870679325193062,0.12932067480693807,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,6.309573444801943e-09
199526231.49688828,1000000000.0,1e+17,350.0,20.0,1137637956.209876,962187128.6929637,175450827.51691222,0.8457762185595147,0.1542237814404852,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,5.011872336272715e-09
251188643.1509582,1000000000.0,1e+17,350.0,20.0,1176374836.3011923,962187128.6929637,214187707.6082285,0.8179256296558616,0.18207437034413843,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,3.981071705534969e-09
316227766.01683795,1000000000.0,1e+17,350.0,20.0,1221926851.0368817,962187128.6929637,259739722.343918,0.7874343115354961,0.21256568846450385,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,3.162277660168379e-09
398107170.5534969,1000000000.0,1e+17,350.0,20.0,1274724561.2118943,962187128.6929637,312537432.5189306,0.7548196355283232,0.24518036447167688,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,2.5118864315095824e-09
501187233.6272715,1000000000.0,1e+17,350.0,20.0,1334905261.574189,962187128.6929637,372718132.8812252,0.720790573226375,0.279209426773625,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.9952623149688828e-09
630957344.4801943,1000000000.0,1e+17,350.0,20.0,1402207220.423419,962187128.6929637,440020091.7304553,0.6861946755647256,0.31380532443527437,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.5848931924611107e-09
794328234.7242821,1000000000.0,1e+17,350.0,20.0,1475888648.260378,962187128.6929637,513701519.5674143,0.6519374817518169,0.34806251824818324,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.2589254117941663e-09
1000000000.0,1000000000.0,1e+17,350.0,20.0,1554698856.8981462,962187128.6929637,592511728.2051823,0.6188897125792381,0.3811102874207618,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1e-09
1258925411.794166,1000000000.0,1e+17,350.0,20.0,1636924308.7186017,962187128.6929637,674737180.025638,0.5878018449406326,0.4121981550593674,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,7.943282347242822e-10
1584893192.4611108,1000000000.0,1e+17,350.0,20.0,1720516821.1616654,962187128.6929637,758329692.4687016,0.5592430814151008,0.4407569185848991,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,6.309573444801943e-10
1995262314.9688828,1000000000.0,1e+17,350.0,20.0,1803288354.9509602,962187128.6929637,841101226.2579966,0.5335736384318469,0.4664263615681531,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,5.011872336272715e-10
2511886431.509582,1000000000.0,1e+17,350.0,20.0,1883135265.1688457,962187128.6929637,920948136.475882,0.5109495565666081,0.48905044343339193,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,3.9810717055349694e-10
3162277660.1683793,1000000000.0,1e+17,350.0,20.0,1958244661.8361478,962187128.6929637,996057533.1431842,0.4913518455813224,0.5086481544186777,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,3.1622776601683795e-10
3981071705.5349693,1000000000.0,1e+17,350.0,20.0,2027241787.071711,962187128.6929637,1065054658.3787475,0.47462869739026725,0.5253713026097329,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,2.511886431509582e-10
5011872336.272715,1000000000.0,1e+17,350.0,20.0,2089256875.0499344,962187128.6929637,1127069746.3569705,0.46054036733514014,0.5394596326648599,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.9952623149688828e-10
6309573444.801943,1000000000.0,1e+17,350.0,20.0,2143913445.205472,962187128.6929637,1181726316.5125082,0.44879942837465997,0.55120057162534,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.584893192461111e-10
7943282347.242822,1000000000.0,1e+17,350.0,20.0,2191257826.741243,962187128.6929637,1229070698.0482793,0.4391026546264036,0.5608973453735965,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1.2589254117941662e-10
10000000000.0,1000000000.0,1e+17,350.0,20.0,2231657140.3683257,962187128.6929637,1269470011.6753619,0.4311536531701096,0.5688463468298903,1.3754606108107536e-08,3.929887459459296e-11,6.877303054053768e-10,1e-09,1e-10
