# branch_names=LA,TA,LO,TO; degeneracy=1,2,1,2
# branch	q_real(1/m)	f(THz)	vg(m/s)
1	1.0180819500e+09	1.4269227724	8602.7672200097
1	1.0203957726e+09	1.4300906252	8601.8416909643
1	1.0227095952e+09	1.4332581373	8600.9161619189
1	1.0250234178e+09	1.4364253085	8599.9906328734
1	1.0273372404e+09	1.4395921389	8599.0651038280
1	1.0296510630e+09	1.4427586284	8598.1395747826
1	1.0319648857e+09	1.4459247771	8597.2140457371
1	1.0342787083e+09	1.4490905850	8596.2885166917
1	1.0365925309e+09	1.4522560520	8595.3629876463
1	1.0389063535e+09	1.4554211782	8594.4374586008
1	1.0412201761e+09	1.4585859636	8593.5119295554
1	1.0435339987e+09	1.4617504081	8592.5864005100
1	1.0458478213e+09	1.4649145119	8591.6608714645
1	1.0481616440e+09	1.4680782747	8590.7353424191
1	1.0504754666e+09	1.4712416968	8589.8098133737
1	1.0527892892e+09	1.4744047780	8588.8842843282
1	1.0551031118e+09	1.4775675184	8587.9587552828
1	1.0574169344e+09	1.4807299180	8587.0332262374
1	1.0597307570e+09	1.4838919767	8586.1076971919
1	1.0620445796e+09	1.4870536946	8585.1821681465
1	1.0643584022e+09	1.4902150716	8584.2566391011
1	1.0666722249e+09	1.4933761079	8583.3311100556
1	1.0689860475e+09	1.4965368032	8582.4055810102
1	1.0712998701e+09	1.4996971578	8581.4800519648
1	1.0736136927e+09	1.5028571715	8580.5545229193
1	1.0759275153e+09	1.5060168444	8579.6289938739
1	1.0782413379e+09	1.5091761765	8578.7034648285
1	1.0805551605e+09	1.5123351677	8577.7779357830
1	1.0828689832e+09	1.5154938181	8576.8524067376
1	1.0851828058e+09	1.5186521277	8575.9268776922
1	1.0874966284e+09	1.5218100965	8575.0013486467
1	1.0898104510e+09	1.5249677244	8574.0758196013
1	1.0921242736e+09	1.5281250114	8573.1502905559
1	1.0944380962e+09	1.5312819577	8572.2247615104
1	1.0967519188e+09	1.5344385631	8571.2992324650
1	1.0990657415e+09	1.5375948277	8570.3737034196
1	1.1013795641e+09	1.5407507514	8569.4481743742
1	1.1036933867e+09	1.5439063343	8568.5226453287
1	1.1060072093e+09	1.5470615764	8567.5971162833
1	1.1083210319e+09	1.5502164777	8566.6715872379
1	1.1106348545e+09	1.5533710381	8565.7460581924
1	1.1129486771e+09	1.5565252577	8564.8205291470
1	1.1152624997e+09	1.5596791364	8563.8950001016
1	1.1175763224e+09	1.5628326744	8562.9694710561
1	1.1198901450e+09	1.5659858715	8562.0439420107
1	1.1222039676e+09	1.5691387277	8561.1184129653
1	1.1245177902e+09	1.5722912432	8560.1928839198
1	1.1268316128e+09	1.5754434178	8559.2673548744
1	1.1291454354e+09	1.5785952515	8558.3418258290
1	1.1314592580e+09	1.5817467445	8557.4162967835
1	1.1337730807e+09	1.5848978966	8556.4907677381
1	1.1360869033e+09	1.5880487078	8555.5652386927
1	1.1384007259e+09	1.5911991783	8554.6397096472
1	1.1407145485e+09	1.5943493079	8553.7141806018
1	1.1430283711e+09	1.5974990966	8552.7886515564
1	1.1453421937e+09	1.6006485446	8551.8631225109
1	1.1476560163e+09	1.6037976517	8550.9375934655
1	1.1499698389e+09	1.6069464180	8550.0120644201
1	1.1522836616e+09	1.6100948434	8549.0865353746
1	1.1545974842e+09	1.6132429280	8548.1610063292
1	1.1569113068e+09	1.6163906718	8547.2354772838
1	1.1592251294e+09	1.6195380748	8546.3099482383
1	1.1615389520e+09	1.6226851369	8545.3844191929
1	1.1638527746e+09	1.6258318582	8544.4588901475
1	1.1661665972e+09	1.6289782386	8543.5333611020
1	1.1684804199e+09	1.6321242783	8542.6078320566
1	1.1707942425e+09	1.6352699770	8541.6823030112
1	1.1731080651e+09	1.6384153350	8540.7567739657
1	1.1754218877e+09	1.6415603521	8539.8312449203
1	1.1777357103e+09	1.6447050284	8538.9057158749
1	1.1800495329e+09	1.6478493639	8537.9801868294
