idxcell,idycell,idzcell,Tinit
1,30,2,330.2459069045
2,30,2,331.372240373375
3,30,2,332.914660713375
4,30,2,332.89774843124997
5,30,2,331.185736588375
6,30,2,327.898834304125
7,30,2,325.8909447095
1,31,2,330.49154059449995
2,31,2,331.50042032087504
3,31,2,332.91972246925
4,31,2,332.925415047875
5,31,2,331.282632985875
6,31,2,328.0986788985
7,31,2,326.15277702975
1,32,2,330.34551644075
2,32,2,331.43076073925
3,32,2,332.91712920850006
4,32,2,332.928229694875
5,32,2,331.32448112325
6,32,2,328.11892922975005
7,32,2,326.1271022235
1,33,2,330.12413881275
2,33,2,331.32301362137497
3,33,2,332.91504995325005
4,33,2,332.92512345025
5,33,2,331.34214949275
6,33,2,328.140387461625
7,33,2,326.13851136175
1,34,2,330.15453244775
