idxcell,idycell,idzcell,x_center_um,y_center_um,z_center_um,region_type,temperature_K,cell_volume_um3
4,30,1,0.015,0.067,0.005,Z-,332.88438080199995,4.000000000000004e-08
5,30,1,0.017,0.067,0.005,Z-,331.20926059475,4e-08
6,30,1,0.019,0.067,0.005,Z-,328.0857247175,4.0000000000000074e-08
7,30,1,0.025,0.067,0.005,X+,326.2205061395,2.0000000000000015e-07
1,31,1,0.005,0.069,0.005,X-,330.9399156465,2.000000000000002e-07
2,31,1,0.011,0.069,0.005,Z-,331.71833106225,4.000000000000004e-08
3,31,1,0.013000000000000001,0.069,0.005,Z-,332.89873575025,4.000000000000004e-08
4,31,1,0.015,0.069,0.005,Z-,332.90295312599994,4.000000000000004e-08
5,31,1,0.017,0.069,0.005,Z-,331.28097065599997,4e-08
6,31,1,0.019,0.069,0.005,Z-,328.27911067825,4.0000000000000074e-08
7,31,1,0.025,0.069,0.005,X+,326.501461274,2.0000000000000015e-07
1,32,1,0.005,0.07100000000000001,0.005,X-,330.603548673,1.999999999999988e-07
2,32,1,0.011,0.07100000000000001,0.005,Z-,331.5531854655,3.999999999999976e-08
3,32,1,0.013000000000000001,0.07100000000000001,0.005,Z-,332.896177777,3.999999999999976e-08
4,32,1,0.015,0.07100000000000001,0.005,Z-,332.9014992375,3.999999999999976e-08
5,32,1,0.017,0.07100000000000001,0.005,Z-,331.3160616192499,3.999999999999973e-08
6,32,1,0.019,0.07100000000000001,0.005,Z-,328.19272702675,3.9999999999999796e-08
7,32,1,0.025,0.07100000000000001,0.005,X+,326.26679599399995,1.9999999999999877e-07
1,33,1,0.005,0.073,0.005,X-,330.1235418155,2.000000000000002e-07
2,33,1,0.011,0.073,0.005,Z-,331.31859108025,4.000000000000004e-08
3,33,1,0.013000000000000001,0.073,0.005,Z-,332.898188882,4.000000000000004e-08
4,33,1,0.015,0.073,0.005,Z-,332.89983585875,4.000000000000004e-08
5,33,1,0.017,0.073,0.005,Z-,331.34221961825,4e-08
6,33,1,0.019,0.073,0.005,Z-,328.15522514475,4.0000000000000074e-08
7,33,1,0.025,0.073,0.005,X+,326.1429453515,2.0000000000000015e-07
1,34,1,0.005,0.075,0.005,X-,330.154046765,2.000000000000002e-07
2,34,1,0.011,0.075,0.005,Z-,331.34218784975,4.000000000000004e-08
3,34,1,0.013000000000000001,0.075,0.005,Z-,332.91209350275,4.000000000000004e-08
4,34,1,0.015,0.075,0.005,Z-,332.91475155375,4.000000000000004e-08
5,34,1,0.017,0.075,0.005,Z-,331.37853919625,4e-08
6,34,1,0.019,0.075,0.005,Z-,328.24483613800004,4.0000000000000074e-08
7,34,1,0.025,0.075,0.005,X+,326.26823892000004,2.0000000000000015e-07
1,35,1,0.005,0.077,0.005,X-,330.1779079955,2.000000000000002e-07
2,35,1,0.011,0.077,0.005,Z-,331.3672297925,4.000000000000004e-08
3,35,1,0.013000000000000001,0.077,0.005,Z-,332.94303149949997,4.000000000000004e-08
4,35,1,0.015,0.077,0.005,Z-,332.95539603725,4.000000000000004e-08
5,35,1,0.017,0.077,0.005,Z-,331.43570142375,4e-08
6,35,1,0.019,0.077,0.005,Z-,328.3352326235,4.0000000000000074e-08
7,35,1,0.025,0.077,0.005,X+,326.38034306450004,2.0000000000000015e-07
1,36,1,0.005,0.079,0.005,X-,330.195061516,2.000000000000002e-07
2,36,1,0.011,0.079,0.005,Z-,331.39355154975,4.000000000000004e-08
3,36,1,0.013000000000000001,0.079,0.005,Z-,332.990501496,4.000000000000004e-08
4,36,1,0.015,0.079,0.005,Z-,333.02418506075,4.000000000000004e-08
5,36,1,0.017,0.079,0.005,Z-,331.520212781,4e-08
6,36,1,0.019,0.079,0.005,Z-,328.49703251475,4.0000000000000074e-08
7,36,1,0.025,0.079,0.005,X+,326.6130481805,2.0000000000000015e-07
1,37,1,0.005,0.081,0.005,X-,330.2065337245,2.000000000000002e-07
2,37,1,0.011,0.081,0.005,Z-,331.42034057175,4.000000000000004e-08
3,37,1,0.013000000000000001,0.081,0.005,Z-,333.0519126445,4.000000000000004e-08
4,37,1,0.015,0.081,0.005,Z-,333.11787887975,4.000000000000004e-08
5,37,1,0.017,0.081,0.005,Z-,331.631462888,4e-08
6,37,1,0.019,0.081,0.005,Z-,328.76202899725,4.0000000000000074e-08
7,37,1,0.025,0.081,0.005,X+,327.027212108,2.0000000000000015e-07
1,38,1,0.005,0.083,0.005,X-,330.21363886250003,2.000000000000002e-07
2,38,1,0.011,0.083,0.005,Z-,331.44665908449997,4.000000000000004e-08
3,38,1,0.013000000000000001,0.083,0.005,Z-,333.12385959225,4.000000000000004e-08
4,38,1,0.015,0.083,0.005,Z-,333.23248006075,4.000000000000004e-08
5,38,1,0.017,0.083,0.005,Z-,331.764822991,4e-08
