# Xmin Xmax Ymin Ymax Zmin Zmax P_W_m3
0.01 0.012 0.08 0.082 0.01 0.02 1.15817752464e+17
0.01 0.012 0.08 0.082 0.02 0.03 1.15817752464e+17
0.01 0.012 0.08 0.082 0.03 0.04 1.15817752464e+17
0.01 0.012 0.08 0.082 0.04 0.05 1.15817752464e+17
0.01 0.012 0.08 0.082 0.05 0.06 1.15817752464e+17
0.01 0.012 0.08 0.082 0.06 0.07 1.15817752464e+17
0.01 0.012 0.08 0.082 0.07 0.08 1.15817752464e+17
0.01 0.012 0.082 0.084 0.01 0.02 1.12374719792e+17
0.01 0.012 0.082 0.084 0.02 0.03 1.12374719792e+17
0.01 0.012 0.082 0.084 0.03 0.04 1.12374719792e+17
0.01 0.012 0.082 0.084 0.04 0.05 1.12374719792e+17
0.01 0.012 0.082 0.084 0.05 0.06 1.12374719792e+17
0.01 0.012 0.082 0.084 0.06 0.07 1.12374719792e+17
0.01 0.012 0.082 0.084 0.07 0.08 1.12374719792e+17
0.01 0.012 0.084 0.086 0.01 0.02 1.08700318917e+17
0.01 0.012 0.084 0.086 0.02 0.03 1.08700318917e+17
0.01 0.012 0.084 0.086 0.03 0.04 1.08700318917e+17
0.01 0.012 0.084 0.086 0.04 0.05 1.08700318917e+17
0.01 0.012 0.084 0.086 0.05 0.06 1.08700318917e+17
0.01 0.012 0.084 0.086 0.06 0.07 1.08700318917e+17
0.01 0.012 0.084 0.086 0.07 0.08 1.08700318917e+17
0.01 0.012 0.086 0.088 0.01 0.02 1.04865110474e+17
0.01 0.012 0.086 0.088 0.02 0.03 1.04865110474e+17
0.01 0.012 0.086 0.088 0.03 0.04 1.04865110474e+17
0.01 0.012 0.086 0.088 0.04 0.05 1.04865110474e+17
0.01 0.012 0.086 0.088 0.05 0.06 1.04865110474e+17
0.01 0.012 0.086 0.088 0.06 0.07 1.04865110474e+17
0.01 0.012 0.086 0.088 0.07 0.08 1.04865110474e+17
0.01 0.012 0.088 0.09 0.01 0.02 1.00873502034e+17
0.01 0.012 0.088 0.09 0.02 0.03 1.00873502034e+17
0.01 0.012 0.088 0.09 0.03 0.04 1.00873502034e+17
0.01 0.012 0.088 0.09 0.04 0.05 1.00873502034e+17
0.01 0.012 0.088 0.09 0.05 0.06 1.00873502034e+17
0.01 0.012 0.088 0.09 0.06 0.07 1.00873502034e+17
0.01 0.012 0.088 0.09 0.07 0.08 1.00873502034e+17
0.01 0.012 0.09 0.092 0.01 0.02 9.68911963446e+16
0.01 0.012 0.09 0.092 0.02 0.03 9.68911963446e+16
0.01 0.012 0.09 0.092 0.03 0.04 9.68911963446e+16
0.01 0.012 0.09 0.092 0.04 0.05 9.68911963446e+16
0.01 0.012 0.09 0.092 0.05 0.06 9.68911963446e+16
0.01 0.012 0.09 0.092 0.06 0.07 9.68911963446e+16
0.01 0.012 0.09 0.092 0.07 0.08 9.68911963446e+16
0.01 0.012 0.092 0.094 0.01 0.02 9.30750710015e+16
0.01 0.012 0.092 0.094 0.02 0.03 9.30750710015e+16
0.01 0.012 0.092 0.094 0.03 0.04 9.30750710015e+16
0.01 0.012 0.092 0.094 0.04 0.05 9.30750710015e+16
0.01 0.012 0.092 0.094 0.05 0.06 9.30750710015e+16
0.01 0.012 0.092 0.094 0.06 0.07 9.30750710015e+16
0.01 0.012 0.092 0.094 0.07 0.08 9.30750710015e+16
0.01 0.012 0.094 0.096 0.01 0.02 8.96099176975e+16
0.01 0.012 0.094 0.096 0.02 0.03 8.96099176975e+16
