# X Y Z T_K
0.01 0.098 0.05 330.049326743
0.01 0.098 0.06 330.053564786
0.01 0.098 0.07 330.052705663
0.01 0.098 0.08 331.28865709
0.01 0.1 0.01 329.998972917
0.01 0.1 0.02 329.99862264
0.01 0.1 0.03 329.99957646
0.01 0.1 0.04 329.998274166
0.01 0.1 0.05 329.997855904
0.01 0.1 0.06 330.002585816
0.01 0.1 0.07 330.001596457
0.01 0.1 0.08 331.267001358
0.01 0.102 0.01 331.034854785
0.01 0.102 0.02 329.939799352
0.01 0.102 0.03 329.941256865
0.01 0.102 0.04 329.939658509
0.01 0.102 0.05 329.939149782
0.01 0.102 0.06 329.943604535
0.01 0.102 0.07 329.943328718
0.01 0.102 0.08 330.619191316
0.01 0.104 0.01 330.494318519
0.01 0.104 0.02 329.874716423
0.01 0.104 0.03 330.210088624
0.01 0.104 0.04 329.874318194
0.01 0.104 0.05 329.874044664
0.01 0.104 0.06 329.877620252
0.01 0.104 0.07 329.878153774
0.01 0.104 0.08 329.877981312
0.01 0.106 0.01 329.801642111
0.01 0.106 0.02 329.803458252
0.01 0.106 0.03 329.803258944
0.01 0.106 0.04 329.802436641
0.01 0.106 0.05 329.801656125
0.01 0.106 0.06 329.804995787
0.01 0.106 0.07 329.806540991
0.01 0.106 0.08 329.806019852
0.01 0.108 0.01 329.723338357
0.01 0.108 0.02 329.725134239
0.01 0.108 0.03 329.723657348
0.01 0.108 0.04 329.723489763
0.01 0.108 0.05 329.722573535
0.01 0.108 0.06 329.725424671
0.01 0.108 0.07 329.728104608
0.01 0.108 0.08 329.728360703
0.01 0.11 0.01 329.638827601
0.01 0.11 0.02 329.639513389
0.01 0.11 0.03 329.637637008
0.01 0.11 0.04 329.637421524
0.01 0.11 0.05 329.636258563
0.01 0.11 0.06 329.639091688
0.01 0.11 0.07 329.643430914
0.01 0.11 0.08 329.645708962
0.01 0.112 0.01 329.548022679
0.01 0.112 0.02 329.547588669
0.01 0.112 0.03 329.546267534
0.01 0.112 0.04 329.544962879
0.01 0.112 0.05 329.544042018
0.01 0.112 0.06 329.547245548
0.01 0.112 0.07 329.551996891
0.01 0.112 0.08 329.557856951
0.01 0.114 0.01 329.443520755
0.01 0.114 0.02 330.346519049
0.01 0.114 0.03 329.445151511
0.01 0.114 0.04 329.440530629
0.01 0.114 0.05 329.438401336
0.01 0.114 0.06 329.442831472
0.01 0.114 0.07 329.446076863
0.01 0.114 0.08 329.459137667
0.01 0.116 0.01 329.307693676
0.01 0.116 0.02 329.306868004
0.01 0.116 0.03 329.308019395
0.01 0.116 0.04 329.30266018
0.01 0.116 0.05 329.301015394
0.01 0.116 0.06 329.305189651
0.01 0.116 0.07 329.309103648
0.01 0.116 0.08 329.322722104
0.01 0.118 0.01 329.157186572
0.01 0.118 0.02 329.156807674
0.01 0.118 0.03 329.156004248
0.01 0.118 0.04 329.154332751
0.01 0.118 0.05 329.154127612
0.01 0.118 0.06 329.156192129
0.01 0.118 0.07 329.160684351
0.01 0.118 0.08 329.166357104
0.01 0.12 0.01 329.017964521
0.01 0.12 0.02 329.017336991
0.01 0.12 0.03 329.01626448
0.01 0.12 0.04 329.015597414
0.01 0.12 0.05 329.015874824
0.01 0.12 0.06 329.017126545
0.01 0.12 0.07 329.020952108
0.01 0.12 0.08 329.024688933
0.01 0.122 0.01 328.889185218
0.01 0.122 0.02 328.88814241
0.01 0.122 0.03 328.886622384
0.01 0.122 0.04 328.886494418
0.01 0.122 0.05 328.88680795
0.01 0.122 0.06 328.887569912
0.01 0.122 0.07 328.890937594
0.01 0.122 0.08 328.894170719
0.01 0.124 0.01 328.770414321
0.01 0.124 0.02 328.770017513
0.01 0.124 0.03 328.767862731
0.01 0.124 0.04 328.768112699
0.01 0.124 0.05 328.768608692
0.01 0.124 0.06 328.768834365
0.01 0.124 0.07 328.771934846
0.01 0.124 0.08 328.774283575
0.01 0.126 0.01 328.661384021
0.01 0.126 0.02 328.661353223
0.01 0.126 0.03 328.658528372
0.01 0.126 0.04 328.659002793
0.01 0.126 0.05 328.660087006
0.01 0.126 0.06 328.660237361
0.01 0.126 0.07 328.662023089
0.01 0.126 0.08 328.664221326
0.01 0.128 0.01 328.561054527
0.01 0.128 0.02 328.561051127
0.01 0.128 0.03 328.557783856
0.01 0.128 0.04 328.558490694
0.01 0.128 0.05 328.560102209
0.01 0.128 0.06 328.560591773
0.01 0.128 0.07 328.561264287
0.01 0.128 0.08 328.563227183
0.01 0.13 0.01 328.468315545
0.01 0.13 0.02 328.468463544
0.01 0.13 0.03 328.465099624
0.01 0.13 0.04 328.46612977
0.01 0.13 0.05 328.468071993
0.01 0.13 0.06 328.468700994
0.01 0.13 0.07 328.468714347
0.01 0.13 0.08 328.173740301
0.01 0.132 0.01 328.383153935
0.01 0.132 0.02 328.383243662
0.01 0.132 0.03 328.379771304
0.01 0.132 0.04 328.381427991
0.01 0.132 0.05 328.383388791
0.01 0.132 0.06 328.384178373
0.01 0.132 0.07 328.384252919
0.01 0.132 0.08 327.741503944
0.01 0.134 0.01 328.305321933
0.01 0.134 0.02 328.304927528
0.01 0.134 0.03 328.301875785
0.01 0.134 0.04 328.303733483
0.01 0.134 0.05 328.305571124
0.01 0.134 0.06 328.306163162
0.01 0.134 0.07 328.306984031
0.01 0.134 0.08 327.968457569
0.01 0.136 0.01 328.234286546
0.01 0.136 0.02 328.233625412
0.01 0.136 0.03 328.231678845
0.01 0.136 0.04 328.233057857
0.01 0.136 0.05 328.234951674
0.01 0.136 0.06 328.23537534
0.01 0.136 0.07 328.027633128
0.01 0.136 0.08 328.238239549
0.01 0.138 0.01 328.169675491
0.01 0.138 0.02 328.1690426
0.01 0.138 0.03 328.167494273
0.01 0.138 0.04 328.168631801
0.01 0.138 0.05 328.170576275
0.01 0.138 0.06 328.170754427
0.01 0.138 0.07 328.171435953
0.01 0.138 0.08 328.172366447
0.01 0.14 0.01 328.111207491
0.01 0.14 0.02 328.110476681
0.01 0.14 0.03 328.109541856
0.01 0.14 0.04 328.110516874
0.01 0.14 0.05 328.112204702
0.01 0.14 0.06 328.112095167
0.01 0.14 0.07 328.112702155
0.01 0.14 0.08 328.114149043
0.01 0.142 0.01 328.058744382
0.01 0.142 0.02 328.057557406
0.01 0.142 0.03 328.058021648
0.01 0.142 0.04 328.058401209
0.01 0.142 0.05 328.059576673
0.01 0.142 0.06 328.059586947
0.01 0.142 0.07 328.060253741
0.01 0.142 0.08 328.061124338
0.01 0.144 0.01 328.011805392
0.01 0.144 0.02 328.010754423
0.01 0.144 0.03 327.786892789
0.01 0.144 0.04 328.011959162
0.01 0.144 0.05 328.012657393
0.01 0.144 0.06 328.013029018
0.01 0.144 0.07 328.013690631
0.01 0.144 0.08 328.013741917
0.01 0.146 0.01 327.970179787
0.01 0.146 0.02 327.969683504
0.01 0.146 0.03 327.970648327
0.01 0.146 0.04 327.970894044
