# branch	q_real(1/m)	f(THz)	vg(m/s)
3	7.2157298022e+09	2.3279810000	567.5940480102
3	7.3284707673e+09	2.3379630000	545.4409099982
3	7.4412117324e+09	2.3475550000	523.9844115462
3	7.5539526975e+09	2.3567670000	503.0016279952
3	7.6666936626e+09	2.3656060000	482.4646937626
3	7.7794346277e+09	2.3740810000	462.1915958269
3	7.8922371999e+09	2.3821970000	442.3010045774
3	8.0049781650e+09	2.3899580000	422.7766162507
3	8.1177191301e+09	2.3973690000	403.2985741496
3	8.2304600952e+09	2.4044310000	383.9041287956
3	8.3432010603e+09	2.4111460000	364.6211457712
3	8.4559420254e+09	2.4175160000	345.3660283293
3	8.5686829905e+09	2.4235400000	326.1109108873
3	8.6814239557e+09	2.4292190000	306.8279278630
3	8.7941649208e+09	2.4345510000	287.4613480914
3	8.9069058859e+09	2.4395350000	268.0390371550
3	9.0196468510e+09	2.4441700000	248.5609950538
3	9.1323878161e+09	2.4484550000	228.9436250406
3	9.2451287812e+09	2.4523860000	209.1297878291
3	9.3579313534e+09	2.4559620000	189.2391965796
3	9.4706723185e+09	2.4591790000	169.2555475288
3	9.5834132836e+09	2.4620360000	149.0808658675
3	9.6961542487e+09	2.4645290000	128.7389907117
3	9.8088952138e+09	2.4666560000	108.2577876440
3	9.9216361789e+09	2.4684140000	87.6372566642
3	1.0034377144e+10	2.4698010000	66.8495321899
3	1.0147118109e+10	2.4708130000	45.9503453861
3	1.0259859074e+10	2.4714500000	24.9954274174
3	1.0372600039e+10	2.4717100000	3.9847782839
3	1.0485341004e+10	2.4715930000	-16.9422741023
3	1.0598081970e+10	2.4711020000	-291.8083789466
3	1.0710822935e+10	2.4611210000	-559.1373346899
3	1.0823625507e+10	2.4510310000	-182.9990110895
3	1.0936366472e+10	2.4545520000	174.3828146914
3	1.1049107437e+10	2.4572890000	109.4560076874
3	1.1161848402e+10	2.4584800000	66.3758172890
4	0.0000000000e+00	0.5527450000	142.0587391014
4	1.1274096511e+08	0.5552940000	281.9996939400
4	2.2548193021e+08	0.5628650000	555.9741001473
4	3.3822289532e+08	0.5752460000	814.9010918559
4	4.5096386042e+08	0.5921090000	2041.1260455940
4	5.6370482553e+08	0.6484950000	2231.1135864322
4	6.7644579063e+08	0.6721760000	1407.8304193060
4	7.8924836283e+08	0.6990310000	1573.5017724723
4	9.0198932793e+08	0.7286590000	1717.9967520240
4	1.0147302930e+09	0.7606840000	1841.8871313973
4	1.1274712581e+09	0.7947580000	1947.2468984711
4	1.2402122232e+09	0.8305640000	2035.9151816842
4	1.3529531884e+09	0.8678200000	2109.8147062226
4	1.4656941535e+09	0.9062780000	2170.5338102834
4	1.5784351186e+09	0.9457130000	2219.5772353165
4	1.6911760837e+09	0.9859310000	2258.3103948596
4	1.8039170488e+09	1.0267560000	2287.8479122091
4	1.9166580139e+09	1.0680340000	2309.1929483314
4	2.0293989790e+09	1.1096250000	2323.1257395340
4	2.1421399441e+09	1.1514030000	2329.7063935753
4	2.2549425163e+09	1.1932530000	2330.8207124128
4	2.3676834814e+09	1.2350710000	2326.9154587411
4	2.4804244465e+09	1.2767580000	2317.1625048993
4	2.5931654116e+09	1.3182260000	2363.6144307686
4	2.7059063767e+09	1.3615800000	3001.4854776047
4	2.8186473418e+09	1.4259390000	3545.6724363946
4	2.9313883069e+09	1.4888220000	3456.6976317750
4	3.0441292720e+09	1.5499880000	3354.2358852713
4	3.1568702371e+09	1.6091940000	3238.2314657187
4	3.2696112022e+09	1.6661970000	3108.7401042820
4	3.3823521673e+09	1.7207560000	2965.1467106636
4	3.4951547395e+09	1.7726350000	2809.6156589186
4	3.6078957046e+09	1.8216110000	2642.6882385561
4	3.7206366697e+09	1.8674720000	2463.7911995151
